id;id_category;nom1,1,"Baby Products"
2,2,"Gifts"
3,3,"Keepsakes"
4,4,"Hand & Footprint Makers"
5,5,"Toys & Games"
6,6,"Baby & Toddler Toys"
7,7,"Early Development & Activity Toys"
8,8,"Sorting & Stacking Toys"
9,9,"Clothing, Shoes & Jewelry"
10,10,"Baby"
11,11,"Baby Girls"
12,12,"Clothing"
13,13,"Dresses"
14,14,"Special Occasion"
15,15,"Keepsake Frames"
16,16,"Shoes"
17,17,"Sandals"
18,18,"Girls"
19,19,"Baby Boys"
20,20,"Sneakers"
21,21,"Accessories"
22,22,"Gloves & Mittens"
23,23,"Tights"
24,24,"Snow & Rainwear"
25,25,"Snow Pants & Bibs"
26,26,"Sleepwear & Robes"
27,27,"Nightgowns"
28,28,"Footies & Rompers"
29,29,"Footies"
30,30,"Pajama Sets"
31,31,"Bottoms"
32,32,"Pants"
33,33,"Clothing Sets"
34,34,"Overalls"
35,35,"Nursery"
36,36,"Bedding"
37,37,"Blankets & Swaddling"
38,38,"Quilts"
39,39,"Receiving Blankets"
40,40,"Feeding"
41,41,"Highchairs & Booster Seats"
42,42,"Highchairs"
43,43,"Bottle-Feeding"
44,44,"Bottle Warmers"
45,45,"Swaddling Blankets"
46,46,"Bodysuits"
47,47,"Westlake"
48,48,"Furniture"
49,49,"Infant & Toddler Beds"
50,50,"Cribs"
51,51,"Flats"
52,52,"Mary Jane"
53,53,"Breastfeeding"
54,54,"Breast Pump Accessories"
55,55,"Pant Sets"
